date,Open,High,Low,Close,Volume
2023-04-15,2101.81,2112.88,2073.79,2092.45,8036468153.0
2023-04-16,2092.44,2142.85,2074.32,2120.07,7898126856.0
2023-04-17,2120.01,2122.02,2058.0,2075.63,9648882546.0
2023-04-18,2075.63,2125.0,2052.52,2104.61,9134015143.0
2023-04-19,2104.54,2105.9,1923.33,1934.8,13779745451.0
2023-04-20,1934.63,1983.34,1914.16,1943.16,11324135406.0
2023-04-21,1942.91,1956.81,1824.67,1848.16,12044274581.0
2023-04-22,1848.21,1887.88,1842.11,1874.48,6970642726.0
2023-04-23,1874.48,1882.6,1837.3,1861.9,6607451862.0
2023-04-24,1861.91,1890.0,1805.38,1842.17,8438191338.0
2023-04-25,1842.11,1878.16,1801.46,1866.23,8677255481.0
2023-04-26,1866.22,1965.04,1785.51,1866.73,14356524696.0
2023-04-27,1866.73,1939.56,1862.08,1908.92,14008145806.0
2023-04-28,1908.92,1924.79,1875.0,1892.54,7691759733.0
2023-04-29,1892.43,1919.15,1884.58,1908.96,4796651246.0
2023-04-30,1908.96,1939.76,1866.5,1870.76,6539641957.0
2023-05-01,1870.67,1887.12,1805.95,1831.41,8625783201.0
2023-05-02,1831.36,1882.55,1823.21,1871.26,7536785767.0
2023-05-03,1871.27,1917.16,1843.52,1905.89,8306390869.0
2023-05-04,1905.89,1918.34,1867.71,1878.01,6578438233.0
2023-05-05,1878.25,2000.0,1876.36,1995.76,9498261360.0
2023-05-06,1995.77,2020.0,1864.06,1900.12,9623243037.0
2023-05-07,1900.12,1936.45,1870.61,1873.27,6883942236.0
2023-05-08,1873.28,1886.87,1810.0,1849.11,9895102899.0
2023-05-09,1849.11,1862.57,1832.0,1847.7,6129516088.0
2023-05-10,1847.5,1888.97,1789.75,1842.47,9945549603.0
2023-05-11,1842.33,1843.62,1772.26,1795.24,8353828312.0
2023-05-12,1795.22,1817.25,1737.76,1808.35,9047198660.0
2023-05-13,1808.24,1817.32,1786.44,1795.99,4647630864.0
2023-05-14,1796.01,1824.67,1790.49,1800.03,4711210241.0
2023-05-15,1800.0,1848.05,1785.52,1816.79,6748889346.0
2023-05-16,1816.8,1833.25,1796.86,1824.64,5595959668.0
2023-05-17,1824.57,1837.15,1783.59,1822.49,6352161579.0
2023-05-18,1822.46,1831.84,1770.88,1800.61,5673124255.0
2023-05-19,1800.61,1830.0,1797.08,1812.84,4796110259.0
2023-05-20,1812.84,1829.85,1807.26,1819.96,2951655969.0
2023-05-21,1819.9,1829.53,1797.19,1805.28,3386768865.0
2023-05-22,1805.35,1829.51,1791.99,1817.76,4534841049.0
2023-05-23,1817.76,1873.7,1815.59,1854.41,6820047160.0
2023-05-24,1854.42,1854.75,1774.56,1799.75,7101647419.0
2023-05-25,1799.79,1818.94,1759.45,1805.83,6321689859.0
2023-05-26,1805.76,1838.96,1796.75,1828.43,5451414258.0
2023-05-27,1828.32,1837.0,1812.92,1830.67,3216737652.0
2023-05-28,1830.6,1921.0,1823.86,1909.25,6359610561.0
2023-05-29,1909.1,1928.51,1874.14,1893.2,5884674572.0
2023-05-30,1893.18,1917.61,1881.93,1901.11,5363439784.0
2023-05-31,1901.1,1908.04,1847.61,1874.04,5984512548.0
2023-06-01,1874.08,1889.29,1839.72,1862.43,5640027197.0
2023-06-02,1862.33,1911.31,1847.66,1907.41,6097746022.0
2023-06-03,1907.44,1909.63,1882.42,1892.62,3472274607.0
2023-06-04,1892.62,1914.83,1884.72,1890.23,3747042696.0
2023-06-05,1890.22,1891.34,1777.25,1811.21,9246593033.0
2023-06-06,1811.21,1898.25,1796.52,1884.95,8704411776.0
2023-06-07,1884.93,1898.0,1820.0,1832.49,7919894455.0
2023-06-08,1832.43,1861.59,1828.63,1845.99,4536041931.0
2023-06-09,1846.21,1855.44,1826.92,1840.46,4610831509.0
2023-06-10,1840.46,1845.19,1716.24,1752.32,10788500406.0
2023-06-11,1752.32,1778.65,1739.0,1753.1,4559112981.0
2023-06-12,1753.1,1759.58,1719.74,1742.66,6031384958.0
2023-06-13,1742.69,1766.23,1723.68,1739.54,6214125203.0
2023-06-14,1739.51,1749.85,1630.0,1650.84,7462905534.0
2023-06-15,1650.84,1678.91,1620.15,1665.28,7328564880.0
2023-06-16,1665.17,1727.8,1648.29,1716.8,6281023479.0
2023-06-17,1716.71,1769.08,1712.96,1727.09,4875187477.0
2023-06-18,1727.15,1747.4,1712.61,1720.43,3820038842.0
2023-06-19,1720.4,1750.71,1698.53,1736.58,5210480121.0
2023-06-20,1736.45,1797.24,1713.79,1792.86,7171072578.0
2023-06-21,1792.71,1901.86,1787.4,1889.57,11731457711.0
2023-06-22,1889.46,1933.72,1866.57,1872.13,8477657143.0
2023-06-23,1872.13,1936.68,1861.37,1893.66,8290615074.0
2023-06-24,1893.74,1906.86,1865.64,1875.87,5026191704.0
2023-06-25,1875.88,1930.66,1869.88,1899.73,6937581709.0
2023-06-26,1899.8,1908.95,1836.25,1859.19,8619702292.0
2023-06-27,1859.19,1912.6,1855.41,1889.82,7686042202.0
2023-06-28,1889.77,1890.49,1816.0,1827.37,7135265016.0
2023-06-29,1827.3,1879.6,1826.43,1852.11,5677228612.0
2023-06-30,1851.98,1946.75,1823.2,1933.57,12895131248.0
2023-07-01,1933.7,1944.32,1908.65,1924.14,5136809625.0
2023-07-02,1924.14,1959.7,1885.33,1937.26,6343966490.0
2023-07-03,1937.28,1976.99,1933.46,1955.76,7858509087.0
2023-07-04,1955.76,1967.07,1931.7,1936.42,5683423776.0
2023-07-05,1936.44,1942.66,1894.18,1910.14,6034088075.0
2023-07-06,1910.15,1957.76,1845.7,1845.8,8905008384.0
2023-07-07,1846.04,1878.09,1825.38,1870.93,6468885150.0
2023-07-08,1870.9,1873.23,1842.57,1865.56,4299007854.0
2023-07-09,1865.56,1879.35,1856.62,1863.01,4392863807.0
2023-07-10,1862.99,1905.83,1846.99,1880.62,6336468234.0
